index,LatLon,GenorLoad
1," -2.9599967570663948,54.94259958220823",1
2," -1.7438937687082148,54.976702996815256",0
3," -2.752932207052319,53.74543392890058",0
4," -3.052285951128855,53.232985465731794",0
5," -2.3809234866743907,53.51387488731601",0
6," -1.0837834906824324,53.58014796874405",0
7," -0.9945714779797197,53.73559912885454",0
8," -0.7491838835329762,53.594813029735285",0
9," -1.2561763121377867,52.865560873948176",0
10," -1.9888413892850967,52.25063766020046",1
11," 0.1989670349568138,52.72710051797123",0
12," -1.689456436252286,53.348466871791345",0
13," -1.8598212044448348,52.461348276170085",1
14," -0.9098481700663408,51.927198601260926",1
15," -2.1387523620231192,51.371772022260494",0
16," -1.2622679150120988,53.42628347167888",0
17," -0.12220930275771401,51.51348843682179",1
18," 0.7354702883795619,51.36367253816833",0
19," 1.0079392208724456,51.10469776468738",1
20," -1.0292436595201409,50.91331731769251",1
21," -3.9025597150035884,50.79674493712362",1
22," -0.7491838835329762,53.594813029735285",0
23," -0.7491838835329762,53.594813029735285",0
24," -0.7491838835329762,53.594813029735285",0
25," -0.7491838835329762,53.594813029735285",0
26," -0.7491838835329762,53.594813029735285",0
27," -0.7491838835329762,53.594813029735285",0
28," -1.0837834906824324,53.58014796874405",0
29," -1.0837834906824324,53.58014796874405",0
30," -1.0837834906824324,53.58014796874405",0
31," -1.0837834906824324,53.58014796874405",0
32," -1.0837834906824324,53.58014796874405",0
33," -1.0837834906824324,53.58014796874405",0
34," -1.0837834906824324,53.58014796874405",0
35," -2.9599967570663948,54.94259958220823",1
36," -1.7438937687082148,54.976702996815256",1
37," -1.7438937687082148,54.976702996815256",1
38," -1.7438937687082148,54.976702996815256",1
39," -2.752932207052319,53.74543392890058",1
40," -2.752932207052319,53.74543392890058",1
41," -2.752932207052319,53.74543392890058",1
42," -2.752932207052319,53.74543392890058",1
43," -3.052285951128855,53.232985465731794",1
44," -3.052285951128855,53.232985465731794",1
45," -3.052285951128855,53.232985465731794",1
46," -2.3809234866743907,53.51387488731601",1
47," -0.9945714779797197,53.73559912885454",1
48," -0.7491838835329762,53.594813029735285",1
49," -0.7491838835329762,53.594813029735285",1
50," -0.7491838835329762,53.594813029735285",1
51," -1.2561763121377867,52.865560873948176",1
52," -1.2561763121377867,52.865560873948176",1
53," -1.9888413892850967,52.25063766020046",1
54," -1.9888413892850967,52.25063766020046",1
55," -1.9888413892850967,52.25063766020046",1
56," 0.1989670349568138,52.72710051797123",1
57," 0.1989670349568138,52.72710051797123",1
58," -1.689456436252286,53.348466871791345",1
59," -1.689456436252286,53.348466871791345",1
60," -0.9098481700663408,51.927198601260926",1
61," -2.1387523620231192,51.371772022260494",1
62," -2.1387523620231192,51.371772022260494",1
63," -2.1387523620231192,51.371772022260494",1
64," -0.12220930275771401,51.51348843682179",1
65," 0.7354702883795619,51.36367253816833",1
66," 0.7354702883795619,51.36367253816833",1
67," 1.0079392208724456,51.10469776468738",1
68," 1.0079392208724456,51.10469776468738",1
69," -1.0292436595201409,50.91331731769251",1
70," -1.0292436595201409,50.91331731769251",1
71," -1.0292436595201409,50.91331731769251",1
72," -3.9025597150035884,50.79674493712362",1
73," -3.9025597150035884,50.79674493712362",1
74," -0.9098481700663408,51.927198601260926",1
75," -0.9098481700663408,51.927198601260926",0
76," -0.9098481700663408,51.927198601260926",0
77," -0.9098481700663408,51.927198601260926",1
78," -4.686733569759012,55.83714472648713",1
79," -4.686733569759012,55.83714472648713",0
80," -4.686733569759012,55.83714472648713",1
81," -4.686733569759012,55.83714472648713",1
82," -4.686733569759012,55.83714472648713",1
83," -3.905306195894084,56.020913254753395",0
84," -3.905306195894084,56.020913254753395",0
85," -3.905306195894084,56.020913254753395",1
86," -3.6853005430154684,56.050371797302205",1
87," -3.6853005430154684,56.050371797302205",1
88," -3.6853005430154684,56.050371797302205",1
89," -3.6853005430154684,56.050371797302205",1
90," -4.870333216200005,55.907007888209414",0
91," -4.8981427957503,55.7234579129827",0
92," -4.8981427957503,55.7234579129827",0
93," -4.8981427957503,55.7234579129827",1
94," -4.8981427957503,55.7234579129827",1
95," -4.8981427957503,55.7234579129827",1
96," -4.42491307796785,55.78552055767659",0
97," -4.42491307796785,55.78552055767659",0
98," -4.42491307796785,55.78552055767659",1
99," -4.064340478966536,55.67560180507288",0
100," -4.064340478966536,55.67560180507288",0
101," -4.064340478966536,55.67560180507288",1
102," -4.064340478966536,55.67560180507288",1
103," -4.064340478966536,55.67560180507288",1
104," -4.359012377617037,57.31198128393078",1
105," -4.359012377617037,57.31198128393078",1
106," -4.359012377617037,57.31198128393078",1
107," -4.359012377617037,57.31198128393078",1
108," -2.3405547129104325,53.48221715459604",0
109," -2.3405547129104325,53.48221715459604",0
110," -2.3405547129104325,53.48221715459604",0
111," -2.3405547129104325,53.48221715459604",0
112," -2.3405547129104325,53.48221715459604",0
113," -2.3405547129104325,53.48221715459604",1
114," -4.460295658391722,57.483439162815394",1
115," -4.460295658391722,57.483439162815394",0
116," -4.460295658391722,57.483439162815394",1
117," -4.460295658391722,57.483439162815394",1
118," -4.460295658391722,57.483439162815394",1
119," -4.460295658391722,57.483439162815394",1
120," -4.191457809827574,55.874011005264165",0
121," -4.191457809827574,55.874011005264165",1
122," -4.191457809827574,55.874011005264165",1
123," -1.7841285242062415,57.50806535246214",0
124," -1.7841285242062415,57.50806535246214",1
125," -1.7841285242062415,57.50806535246214",1
126," -1.7841285242062415,57.50806535246214",1
127," -1.7841285242062415,57.50806535246214",1
128," -2.346052379862795,57.2331743576788",1
129," -2.346052379862795,57.2331743576788",1
130," -2.9567899398173636,56.53378160019205",1
131," -2.9567899398173636,56.53378160019205",1
132," -4.163496630203753,56.759351018175245",1
133," -4.163496630203753,56.759351018175245",0
134," -4.163496630203753,56.759351018175245",0
135," -4.163496630203753,56.759351018175245",1
136," -4.163496630203753,56.759351018175245",1
